order_id,customer_name,product,amount,order_date
82499ce8-ccc5-4f6d-bbbd-920a3206f776,Kyle Sparks,game,94.03,2025-04-11
071b06e4-7ac6-4912-be90-d4a7ae7a901b,Peter Silva,arm,115.38,2025-07-29
42548705-5894-4ebe-83e2-fcdcf128d476,Lisa Parker,wall,285.0,2025-06-29
bc666d8a-2177-4a1b-a5a6-8fa2eaf09bc8,Scott Gillespie,close,482.36,2025-01-11
c64ad4f6-b53f-4c25-92b8-8b54cd4bd689,Carrie Rodriguez,else,734.18,2025-06-29
db4f9724-a617-4099-bd3f-ad4cb7b139a3,Crystal Arias,ok,538.25,2025-06-15
26fd96af-f2c1-41c0-baba-bc056dcd9550,James Bell,another,804.67,2025-05-13
9faddea8-ef82-4574-8dac-76a086b91c71,Richard Combs,billion,451.78,2025-02-08
8a051faf-6c42-4454-91f9-c5a831b3dde8,Lynn Coleman,model,24.86,2025-03-27
5763c36c-fc86-43ef-8719-47f73311177a,Thomas Navarro,leave,620.47,2025-08-03
5624ea98-ce54-427e-81f2-53d629e9f60b,Anne Higgins,price,175.89,2025-05-09
29ed9a9a-5459-4eba-8fb1-64a4d6adf66f,Alexandra Austin,material,410.51,2025-08-16
dfecac4f-c37e-4f32-820e-ca320c892cf4,Corey Porter,green,148.26,2025-07-09
0ecb21d5-8960-4a2b-b68f-5b04a5976007,Nancy Barrett,general,144.79,2025-07-17
7c801aa5-8f2d-49bb-9efe-078be2cfae50,Andre Ferrell,real,393.84,2025-04-02
094e9ea5-0e6c-48cc-a70c-9e17b889529b,Brian Rodriguez,drug,277.97,2025-05-01
f2529343-c894-4a23-8b4e-3b1430108146,Jaime Martinez,avoid,91.89,2025-07-28
97199447-1a43-44ce-a129-27de883bfb81,Connie Weaver,likely,24.15,2025-09-12
8fd063c8-0b60-4fa1-a771-d38857a2460a,Mike Rodriguez,man,211.69,2025-07-02
01a624bf-0ffa-4b09-a7da-bd7b40f34323,Patrick Mejia,control,554.05,2025-04-15
2bb253b8-c392-409a-ba2b-d1281d86fcec,George Faulkner,material,761.79,2025-08-03
048f06d3-3dcc-44d0-8ade-f64f3daa7e91,Jeffrey Craig,treat,544.94,2025-01-14
4e4b5a4b-2fc2-4e57-8077-4f88ca9d5078,Joshua Gonzales,fight,419.17,2025-06-24
6c441f3f-23d8-421a-aae6-c25deebfd348,Robert Torres,upon,798.23,2025-04-26
42e94558-30c0-4f62-a72a-a35a1a1ce521,Rebecca Holloway,support,200.48,2025-01-21
e2200547-db75-4bd3-a589-cc6737170897,Amber Ingram,important,121.43,2025-05-10
7ae313e3-3952-48e4-8e39-4d992cafe147,Mr. Kevin Bowen,trial,877.02,2025-07-27
2d945f17-687d-4d47-99a2-9d9c4cc7b929,Maria Miller,board,574.55,2025-05-02
13029510-56c8-422b-9469-60b9984aa8a1,Stephen Jackson,tree,865.55,2025-07-01
2909189b-e642-4d54-a797-1be3ff934787,Michael Bowman,work,385.21,2025-08-14
e8c26921-fd69-420c-8334-bae8ff72d325,Chad Bell,reflect,752.54,2025-03-31
daf3e204-94eb-4e2a-9a7a-ea9341651bdb,Anthony Nunez,artist,257.05,2025-06-16
983a2341-0a97-43f2-9736-ff3b73f365b9,Brian Deleon,head,298.09,2025-07-31
391b1f80-ffce-4430-a6e3-9ab376f5541d,Amanda Barnes,organization,304.33,2025-04-14
1dbd43e6-dd02-4fab-ae51-61c4af1bc97a,Christina Logan,beautiful,528.75,2025-02-01
c921ae17-cdff-4a46-9460-11b288e710d0,Sharon Brooks,guess,480.89,2025-08-25
238e0ff5-0b4b-4f55-a0e4-b1be70fea8ee,Ashley Gomez,head,248.1,2025-08-12
8c20f747-47ae-4ae8-b541-facc6a195e93,Alyssa Wright,board,522.01,2025-06-26
32212caf-6658-4533-8305-65dee6854f3b,Rachel Bush,give,333.17,2025-05-26
84c9cb62-3cd4-429c-9d2f-4d842b0a5844,Hannah Weber,certainly,663.26,2025-07-07
e1639f69-5f2c-4228-8711-b6b5ffde51d0,Krista Dominguez,around,694.07,2025-01-22
6d9deaff-1cee-4716-82b2-e6642e998dad,Zachary Becker,face,872.21,2025-07-02
c575e108-ee88-48f1-b7ff-f5f8a4e67241,Amanda Ochoa,guess,830.56,2025-02-03
b742ae75-225b-459b-8c4b-af2e49f45b7c,Sarah Rush,age,592.4,2025-07-12
19c0017a-8df5-4e77-a806-513eefd09aae,Bryan Lopez,quickly,580.17,2025-03-28
2ea5b1c8-e136-4510-9855-786e011d0cb2,John Johnson,though,776.92,2025-09-03
47284b19-855a-46d5-bb09-23b320879eef,Matthew Hunt,film,304.24,2025-09-18
514586dd-cd12-4d2f-90ab-0610859a9036,Jonathan Edwards,baby,139.69,2025-02-07
993c91af-dcb4-4009-a38b-ba3adfe0b8e6,Deborah Alexander,challenge,465.39,2025-02-08
14198842-1837-4e24-be0c-84f7ec7bfe24,Andrea Gonzales,for,466.68,2025-05-03
541e0875-9325-4a0d-a2b1-a35442efede6,Beverly Garza,food,575.42,2025-08-20
188336f2-caff-4fec-92d7-6054353c580e,Victoria Clark,concern,628.14,2025-07-30
ea05dbcb-aa67-4f01-b6b8-1ad6265de82d,Mrs. Jennifer Johnson,treat,819.59,2025-01-15
b04c3779-dd7e-498a-8c4b-98433ff8ec66,Luis Sullivan,down,760.98,2025-01-02
644d1565-bf41-4ff4-b011-868aa985c68d,John Garcia,catch,238.75,2025-02-17
9ced038f-15d5-4903-8461-de88253d525f,Steven Mejia,kitchen,232.9,2025-08-31
4434496d-1e15-4efb-9a9e-f3d922edab69,Erik Wells,open,814.59,2025-08-14
208c8c6d-5981-4677-bfa7-1b2173cdba57,Mary Herrera,believe,325.26,2025-02-04
62f24cd2-641f-4658-b4f0-3e59eee55aab,Paul Lawrence,first,776.6,2025-08-23
4fbee63a-6241-4f11-ad10-12bb39e72384,Mariah Williams,or,335.82,2025-01-05
6748a00f-2557-4980-8680-c3f080714dc7,Emily Jones,use,892.02,2025-06-15
1dbcde46-6d80-4edb-9e01-27a322aadac9,Mary Johnson,half,302.17,2025-05-08
2b17ac18-b8cc-4291-b6d6-be4d59e63fb0,Victoria Faulkner,cup,867.23,2025-03-03
c7058330-82f2-4a65-9706-c0d2465f44f4,Amanda Johnson,suffer,431.02,2025-03-11
3841f094-9a8c-471c-9115-19c07eb4dc60,Michelle Clark,hope,660.8,2025-03-05
0842255b-c037-4a80-93e4-43368fe4e953,Sean Ross,here,419.78,2025-08-26
746444fa-9fa7-4a34-96e4-36a3edb99616,Sheila Gibson,article,547.17,2025-09-13
6cf260c9-02b4-496c-b7b5-6245b40de67e,Alexandria Manning,character,638.55,2025-04-28
3218e5bd-82b7-4581-ac7f-841e26d76879,Kim Garcia,system,306.34,2025-07-03
3058198a-3d04-4548-86cc-d7ae126c36c9,Timothy Stanley,wish,87.32,2025-07-21
7192c46c-6c92-4a74-b039-419dc096f109,Michael Taylor,hope,611.56,2025-03-25
f365da0c-3434-48d1-9e9a-b7eca3e36416,Arthur Stevens,worker,840.12,2025-07-29
f1368be0-035a-4beb-8112-c7f2d6b030e3,Sharon Boyd,four,-5.06,2025-01-17
daf40f87-8e90-422a-b901-5fc9a1c8f5a6,Tara Crawford,already,434.77,2025-03-29
eee8f383-b2a2-4a00-96f3-c0a487d9cd7b,Katrina Morales,laugh,374.37,2025-01-15
f357867b-0b61-4eec-aa34-ea7d5db4b407,Troy Walters,eight,303.7,2025-04-01
0ea29134-a7cf-46e6-8e82-cdff1d4e56f8,Shawn Smith,past,592.83,2025-05-07
5f5a0a16-cf4a-4a0d-a9cb-24529bc7a5cb,Ricardo Williams,speak,729.27,2025-03-13
a73df89b-1ef8-4501-b155-7403a88b4c83,Lynn Kelly,garden,600.94,2025-05-08
525b0dfc-1c47-4513-a021-d9e175267756,Timothy Hogan,thus,158.01,2025-03-02
bed9f1f7-3475-4943-8880-3aa7cafc6dea,Wendy Weber,piece,388.23,2025-09-14
a708b9e4-8da4-4095-8e5d-60aa0c6e0e5a,Joshua Estrada,size,69.78,2025-02-22
78156e0e-e42d-4cae-922f-f0a9e45fd6f0,Robert Thomas,easy,730.1,2025-07-15
